,Link,Title,Date,Location
0,https://www.eventbrite.com/e/virtual-speaking-masterclass-nairobi-tickets-134798872055,Virtual Speaking Masterclass Nairobi,Tomorrow at 7:30 PM,"Nairobi • Nairobi, Nairobi"
1,https://www.eventbrite.com/e/opportunities-in-project-finance-with-johnson-mwawasi-kilangi-tickets-177064082437,Opportunities in Project Finance with Johnson Mwawasi Kilangi,Tomorrow at 6:00 PM + 5 more events,"Parallel Four Hostels • Nairobi, Nairobi"
2,https://www.eventbrite.co.uk/e/walk-for-palestine-international-day-of-solidarity-with-the-palestinians-tickets-187552092357,'Walk for Palestine'- International Day of Solidarity with the Palestinians,"Mon, Nov 29, 5:30 PM","Nairobi • Nairobi, Please"
3,https://www.eventbrite.com/e/cannabis-colloquia-global-hemp-updates-kenya-registration-173822777607,CANNABIS COLLOQUIA - Global Hemp Updates - Kenya,"Wed, Dec 1, 3:00 PM","www.cannabiscolloquia.com • Nairobi, ONLINE"
4,https://www.eventbrite.com/e/sme-start-up-tool-kit-series-tickets-159218431615,SME START-UP TOOL KIT SERIES,"Mon, Dec 6, 10:00 AM","Sarova Stanley: 5 Star Hotel in Nairobi • Nairobi, Nairobi County"
5,https://www.eventbrite.co.uk/e/world-heritage-and-cultural-projects-for-development-workshop-tickets-168414617655,WORLD HERITAGE AND CULTURAL PROJECTS FOR DEVELOPMENT WORKSHOP,"Mon, Dec 6, 8:00 AM","Nairobi • Nairobi, Nairobi County"
6,https://www.eventbrite.com/e/nairobi-video-speed-dating-filter-off-tickets-106559542460,Nairobi Video Speed Dating - Filter Off,"Fri, Dec 10, 8:00 PM + 5 more events","Online Dating - Filter Off • Nairobi, Nairobi"
7,https://www.eventbrite.com/e/godless-corner-tickets-211882425037,Godless Corner,"Sat, Dec 11, 4:00 PM + 12 more events","Ambassadeur Hotel • Nairobi, Nairobi County"
8,https://www.eventbrite.fr/e/billets-le-credit-un-levier-pour-concretiser-vos-projets-au-canada-168115356557,"Le crédit, un levier pour concrétiser vos projets au Canada","Wed, Nov 24, 2021 7:00 PM CET (+01:00)",
9,https://www.eventbrite.com/e/gentle-yoga-for-terrible-times-tickets-170079206485,Gentle Yoga for Terrible Times,"Sat, Nov 27, 2021 6:00 PM PST (-08:00) + 6 more events",
10,https://www.eventbrite.com/e/begin-your-tai-chi-journey-an-introduction-to-essential-tai-chi-skills-tickets-208634660887,Begin your Tai Chi journey: An introduction to essential Tai Chi skills,"Sun, Nov 28, 2021 10:00 AM EST (-05:00) + 1 more event",
11,https://www.eventbrite.com/e/knee-pain-corrective-exercise-workshop-for-women-only-tickets-176743523637,Knee Pain Corrective Exercise Workshop - For Women Only,"Sat, Dec 4, 2021 11:00 AM EST (-05:00) + 3 more events",
12,https://www.eventbrite.com/e/the-antidote-womens-circle-tickets-195310718617,The Antidote: Women's Circle,"Wed, Dec 8, 2021 5:00 PM PST (-08:00)",
13,https://www.eventbrite.com/e/tech-career-fair-exclusive-tech-hiring-event-new-tickets-available-tickets-63049080497,Tech Career Fair: Exclusive Tech Hiring Event-New Tickets Available,"Fri, Dec 17, 2021 10:00 AM PST (-08:00)",
14,https://www.eventbrite.com/e/vegan-for-beginners-tickets-115430209865,Vegan For Beginners,"Sat, Dec 18, 2021 5:00 PM EST (-05:00) + 3 more events",
15,https://www.eventbrite.com/e/baking-from-scratch-101-tickets-152141825295,Baking from Scratch 101,"Thu, Feb 3, 2022 7:00 PM EST (-05:00) + 1 more event",
16,https://www.eventbrite.com/e/check-point-certified-security-administrator-ccsa-tickets-211611905907,Check point Certified Security Administrator (CCSA),"Mon, Dec 6, 8:30 AM","@iLabAfrica • Nairobi, Nairobi County"
17,https://www.eventbrite.com/e/check-point-certified-security-administrator-tickets-211672306567,Check point Certified Security Administrator,"Mon, Dec 6, 8:30 AM","@iLabAfrica • Nairobi, Nairobi County"
18,https://www.eventbrite.com/e/farmers-forum-kenctad-10th-conference-tickets-212530884597,FARMERS' FORUM | KENCTAD 10th CONFERENCE,"Fri, Dec 10, 7:00 AM","Western Heights, Karuna Road - Westlands • Nairobi, KE"
19,https://www.eventbrite.com/e/nairobi-new-year-eve-meditation-learn-practice-and-unwind-tickets-206952690067,Nairobi - New Year Eve Meditation - Learn Practice and unwind!,"Fri, Dec 31, 10:45 PM","Online- Zoom • Nairobi, NSW"
20,https://www.eventbrite.co.uk/e/house-home-expo-tickets-196454258977,House & Home Expo,"Sat, Nov 27, 10:00 PM","The Hub Karen • Nairobi City, Nairobi County"
21,https://www.eventbrite.com/e/disaster-contingency-planning-training-tickets-145199416363,Disaster Contingency Planning Training,"Mon, Nov 29, 7:00 PM + 4 more events","Appleton resort • Nairobi, Nairobi"
22,https://www.eventbrite.com/e/electronic-records-information-management-1-certificate-training-tickets-139174072397,Electronic Records/ Information Management-1- Certificate Training,"Mon, Nov 29, 9:00 AM","Sunstar Hotel Nairobi • Nairobi, Nairobi County"
